name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,0,28740177,,,parking,,,"POLYGON ((-111.9278255 33.4255339, -111.9277911 33.4245968, -111.9282497 33.4245857, -111.9282548 33.4248492, -111.928272 33.4253649, -111.9282778 33.4255371, -111.9282393 33.425537, -111.9278552 33.4255357, -111.9278255 33.4255339))",POINT (-111.9280358 33.4250628),4424.3,47622.6
Packard South Parking Structure,1,28740179,,yes,parking,,,"POLYGON ((-111.9283318 33.4260588, -111.9283271 33.4249713, -111.9285728 33.4249716, -111.928656 33.4249718, -111.9289668 33.4249722, -111.9289648 33.424912, -111.9290969 33.4249048, -111.9290967 33.4249257, -111.9291221 33.4249263, -111.9291548 33.4249688, -111.9291595 33.4260563, -111.9283318 33.4260588))",POINT (-111.9287466 33.4255082),9368.7,100843.5
,2,28740200,,,parking,,,"POLYGON ((-111.9317737 33.4249823, -111.9319282 33.424882, -111.9319968 33.4247817, -111.9320483 33.4246671, -111.9320655 33.424574, -111.9320912 33.4244952, -111.9320912 33.4243949, -111.9321084 33.4243304, -111.9325852 33.4246398, -111.9330053 33.4248686, -111.9335375 33.4251072, -111.9334418 33.4252513, -111.9329032 33.4249841, -111.9325347 33.4246892, -111.9324943 33.4246658, -111.9324641 33.4249851, -111.9323745 33.4250396, -111.9321427 33.4250898, -111.9317737 33.4249823))",POINT (-111.9324938 33.4248362),4662.1,50181.9
Tempe Beach Park,3,28752371,,,,park,,"POLYGON ((-111.9399284 33.4297201, -111.9402446 33.4296941, -111.9413697 33.429606, -111.9422729 33.4295971, -111.9423071 33.429615, -111.9423283 33.4304585, -111.9422979 33.4304899, -111.9423031 33.4308553, -111.942518 33.430858, -111.9425094 33.4307693, -111.9431653 33.4307442, -111.9432001 33.4314592, -111.943224 33.4315467, -111.943255 33.431609, -111.9433102 33.431646, -111.9433796 33.4316793, -111.9436489 33.4316854, -111.9437085 33.4322545, -111.9435626 33.4321829, -111.9434338 33.4320897, -111.9433223 33.4320324, -111.9431935 33.4320038, -111.9429274 33.4320181, -111.9416435 33.4320687, -111.9409468 33.4321163, -111.9401672 33.4321046, -111.9401259 33.4318648, -111.9400142 33.4315678, -111.9399892 33.4312485, -111.9399414 33.4306364, -111.9399365 33.4303266, -111.9399291 33.4298587, -111.9399284 33.4297201))",POINT (-111.9414744 33.430964),72192.0,777067.4
Desert Financial Arena,4,28753079,,yes,,stadium,,"POLYGON ((-111.9312484 33.4248947, -111.9310682 33.4249233, -111.9308879 33.4249233, -111.9307163 33.4249018, -111.9305875 33.4248445, -111.9304674 33.4247442, -111.930426 33.4246253, -111.930426 33.4244964, -111.9304517 33.4243889, -111.9305118 33.4242815, -111.9306405 33.4241668, -111.9307865 33.4241095, -111.9310096 33.424088, -111.931207 33.4241024, -111.9313873 33.4241668, -111.9315246 33.4242815, -111.9315847 33.4244104, -111.9315933 33.4245393, -111.9315574 33.4246726, -111.9314802 33.4247657, -111.9313772 33.4248373, -111.9312484 33.4248947))",POINT (-111.9310035 33.4245108),8175.1,87995.5
Tempe Police Station,5,28769209,,yes,police,,,"POLYGON ((-111.9379166 33.4266942, -111.9372729 33.4264435, -111.9372815 33.4264005, -111.9370154 33.4262787, -111.9371699 33.4260137, -111.9372643 33.4260137, -111.9372557 33.4259134, -111.9372643 33.4258489, -111.9372901 33.4257773, -111.9373673 33.4257701, -111.9373673 33.4256914, -111.937642 33.4256842, -111.9376506 33.4258704, -111.9380969 33.4260424, -111.9379166 33.4263719, -111.9380711 33.4264435, -111.9379166 33.4266942))",POINT (-111.9375866 33.4261909),6404.7,68939.4
Stadium Parking Structure,6,28769223,,parking,parking,,,"POLYGON ((-111.9336976 33.4245985, -111.9337004 33.4243083, -111.933707 33.4236387, -111.9335707 33.4236378, -111.9322628 33.4236289, -111.9322181 33.4236286, -111.9322148 33.4239671, -111.9324067 33.4239684, -111.9326403 33.42397, -111.9326373 33.4242807, -111.9330802 33.4242837, -111.9330772 33.4245943, -111.9336976 33.4245985))",POINT (-111.9331086 33.4240275),10586.5,113951.9
,7,28821516,,,,swimming_pool,,"POLYGON ((-111.932196 33.415302, -111.932196 33.4150871, -111.9314922 33.4150871, -111.9314922 33.415302, -111.932196 33.415302))",POINT (-111.9318441 33.4151945),1559.1,16781.5
Business Administration C Wing,8,28821973,,yes,,,,"POLYGON ((-111.9338446 33.4167976, -111.9335528 33.416554, -111.9338275 33.4162961, -111.934145 33.4165469, -111.9340787 33.4166022, -111.9338446 33.4167976))",POINT (-111.9338446 33.416548),1531.2,16482.0
Business Administration,9,28821988,,yes,,,,"POLYGON ((-111.9342417 33.4166609, -111.9342432 33.4162508, -111.9347947 33.4162521, -111.9347933 33.4166664, -111.9345741 33.4166658, -111.9345729 33.4170029, -111.9343074 33.4170023, -111.9343086 33.416661, -111.9342417 33.4166609))",POINT (-111.9344966 33.4165642),3274.8,35250.1
Discovery Hall,10,28822011,,yes,,,,"POLYGON ((-111.9351837 33.4164078, -111.9351836 33.4165885, -111.9354767 33.4165887, -111.9354767 33.4165987, -111.9355022 33.4166088, -111.935529 33.416611, -111.9355652 33.4166077, -111.9355867 33.416601, -111.9355867 33.4165875, -111.9358739 33.4165877, -111.935874 33.4164161, -111.9355965 33.416416, -111.9355965 33.416342, -111.9354641 33.4163419, -111.9354641 33.4164079, -111.9352642 33.4164078, -111.9351837 33.4164078))",POINT (-111.935525 33.416493),1370.8,14755.1
Student Services Building,11,28822055,,yes,,,,"POLYGON ((-111.9361392 33.4164633, -111.9364651 33.4164655, -111.9364638 33.4165506, -111.9365147 33.4165517, -111.9365134 33.4171495, -111.9364691 33.4171495, -111.9364732 33.4175133, -111.9361419 33.4175155, -111.9361419 33.4170644, -111.9360646 33.4170396, -111.9360046 33.4169966, -111.9359526 33.4169465, -111.9359356 33.416882, -111.9359356 33.416839, -111.9359446 33.4167889, -111.9359706 33.4167387, -111.9360046 33.4166957, -111.9360646 33.4166599, -111.9361166 33.4166384, -111.9361389 33.4166324, -111.9361392 33.4164633))",POINT (-111.9362788 33.4169601),4511.6,48562.8
Interdisciplinary B Wing,12,28822061,,yes,,,,"POLYGON ((-111.9360722 33.4171047, -111.9356953 33.4171016, -111.9352053 33.4170975, -111.9352053 33.4173196, -111.9354285 33.4173196, -111.9355915 33.4173196, -111.9360722 33.4173196, -111.9360722 33.4171047))",POINT (-111.9356364 33.4172103),1952.3,21014.8
Interdisciplinary A Wing,13,28822089,,yes,,,,"POLYGON ((-111.9356344 33.4179142, -111.9353598 33.4179142, -111.9353598 33.4173626, -111.9354285 33.4173626, -111.9354285 33.4173196, -111.9355915 33.4173196, -111.9355915 33.4173697, -111.9356344 33.4173697, -111.9356344 33.4179142))",POINT (-111.9354974 33.4176258),1630.4,17549.6
Moeur Building,14,28822110,,yes,,,,"POLYGON ((-111.935881 33.417797, -111.9361127 33.417797, -111.9361127 33.417754, -111.9362415 33.417754, -111.9362415 33.417797, -111.936456 33.417797, -111.936456 33.4181337, -111.9363359 33.4181337, -111.9363359 33.4180764, -111.9360011 33.4180764, -111.9360011 33.4181337, -111.935881 33.4181337, -111.935881 33.417797))",POINT (-111.9361688 33.4179446),1854.9,19966.4
